pid,name,site,price,broadcast_date,image_url
19641724,(방송에서만 1박스더) 김소형원방 眞 삼본침향환 2박스+1박스 총 3박스(180환),wshop,149000,2025-09-06T16:19:00+09:00,http://cdn.image.buzzni.com/2025/01/10/NkmCZVL8.jpg
50766453,워커힐 고메 함박 스테이크 180g * 15팩 (데미그라스 10팩+ 토마토 5팩),bshop,59900,2025-09-06T16:21:00+09:00,http://imagecdn.skstoa.com/goods/453/50766453_g.jpg?time=20250527165330
12838587,베네통 BENETTON 베이직 남녀공용 긴팔티셔츠 4종,lotteimall,59900,2025-09-06T16:21:00+09:00,http://cdn.image.buzzni.com/2025/02/03/luT79Ee3.jpg
2060831129,크리스피바바 퀸Q 바바블랙쉽 퀼팅 양모패드,cjmall,359000,2025-09-06T16:25:00+09:00,http://cdn.image.buzzni.com/2025/07/03/FO0yAk57.jpg
12872056,★9월 단한번★[명품언니선물패키지] 독일 직수입 알렉스 비비크림 30ml*4 + 비비크림 15ml + 퍼펙터 브러쉬  +무료체험 1ml*1 [포토리뷰시] 손거울 증정!,lotteimall,174000,2025-09-06T16:25:00+09:00,http://cdn.image.buzzni.com/2025/09/03/B0m7s56W.jpg
5996126,전고객 무선고데기까지! 보스티나 더 플러스 염색제 10박스 세트,kshop,79900,2025-09-06T16:31:00+09:00,http://cdn.image.buzzni.com/2025/08/21/Xu0HmZpR.jpg
24232726,[정성가득 한가위!] 정성곳간 강순의 국내산 양념 LA 갈비 400g x 10팩 (총 4kg),shopnt,79900,2025-09-06T16:33:00+09:00,http://cdn.image.buzzni.com/2025/09/04/wV7KoYZb.jpg
35324865,프리파라 브루클린 밀폐용기 12종 세트(220mlX2+460mlX4+1000mlX2+1500mlX2+2200ml),nsmall,209000,2025-09-06T17:10:00+09:00,http://cdn.image.buzzni.com/2025/07/08/7JmtfcHx.jpg
11897179,[우리참바다] 국내산 참돔 300g × 7마리,immall,39900,2025-09-06T17:20:00+09:00,"https://img.publichs.com/ECMCFO/share/product/79/71/89/17834031_600x600.jpg/dims/resize/Q_100,600"
52229751,[필립스] (세일)(방송에서만)필립스 스킨프로 S3885 면도기 + 남성그루밍 세트,bshop,139000,2025-09-06T17:21:00+09:00,http://cdn.image.buzzni.com/2025/08/13/ByV4X4Gs.jpg
12870375,[OneTV][SK]소프트 플란넬 워싱 차렵이불 3장 세트,lotteimall,69900,2025-09-06T17:21:00+09:00,http://cdn.image.buzzni.com/2025/08/26/4KYyqPqh.jpg
35447689,열매나무 거창 못난이 홍로사과 2.5kg+2.5kg,nsmall,39900,2025-09-06T17:22:00+09:00,http://cdn.image.buzzni.com/2025/09/04/fytUYMN0.jpg
20067657,[롯데카드5%할인]르까프  여성  에어니트 워킹화 ,ssgshop,39800,2025-09-06T17:24:00+09:00,http://cdn.image.buzzni.com/2025/09/03/4UUk82f0.jpg
1084355723,[싱글세트] 경락괄사마사지 리파 카사M1 + 가히 바운싱크림 1개(50ml),gsshop,135000,2025-09-06T17:25:00+09:00,https://asset.m-gs.kr/api/550/1/1084355723.jpg
12871961,[무료설치/전고객풀옵션] 스마트 엠보 싱크볼 블랙에디션(3WAY수전+컵세척기+폭포수+칼보관함+도마+세척볼+건조바닥망+올스텐 배수구 세트),lotteimall,990000,2025-09-06T17:30:00+09:00,http://cdn.image.buzzni.com/2025/09/03/sd4WtraE.jpg
2236807663,머티리얼랩 25FW 브리즈 플리츠 블라우스,hmall,79000,2025-09-06T17:35:00+09:00,https://image.hmall.com/static/6/7/80/36/2236807663_0.jpg?RS=600x600&amp;AR=0
66459265,[NO옵션 베트남 특집] 아시아나항공+월드체인+특식 포함 [다낭+호이안 5일] vs [하노이+하롱베이 4일/5일] #5성급 호텔 객실+전신마사지 업그레이드,hnsmall,0,2025-09-06T17:35:00+09:00,http://cdn.image.buzzni.com/2025/09/04/9oRRaTx2.jpg
1091790222,[원더브라]최신상 누드앤누드 스킨패키지 브라팬티 4세트,gsshop,99900,2025-09-06T17:38:00+09:00,https://asset.m-gs.kr/api/550/1/1091790222.jpg
2236970825,New 옥주부 돈까스 4종 패키지 18팩(등심4/안심4/치즈5/치즈치킨5) + 소스18팩,hmall,59900,2025-09-06T17:40:00+09:00,http://cdn.image.buzzni.com/2025/07/11/IZ5bCJE0.jpg
